;marca;preco
0;Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078;R$ 1.049,99
1;Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076;R$ 1.099,99
2;Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto;R$ 1.329,99
3;Cadeira Gamer Husky Gaming Tempest 500, Preto e Branco, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA082;R$ 999,99
4;Cadeira Gamer Prizi JX-1039B, até 120 kg, com Almofadas na lombar e pescoço, Azul;R$ 489,90
5;Cadeira Gamer PCTop Racer, Peso Suportado até 120Kg, Reclinável, Descanso de pés, Preta e Vermelha - Se1006;R$ 588,00
6;Cadeira Gamer Husky Gaming Snow, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BK;R$ 649,99
7;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e Azul;R$ 799,00
8;Cadeira Gamer Mymax MX7, Suporta Até 150kg, Giratória, Preto E Vermelho;R$ 799,00
9;Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto;R$ 799,00
10;Cadeira Gamer Husky Gaming Tempest 700, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA075;R$ 1.099,99
11;Cadeira Gamer Mx5, Giratoria, Branco e Rosa - Mymax;R$ 799,00
12;Cadeira Gamer Mymax Mx7, Peso Suportado até 150Kg, Giratória, Preto E Azul;R$ 799,00
13;Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Roxo;R$ 799,00
14;Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Azul;R$ 799,00
15;Cadeira Gamer Husky Gaming Storm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BK;R$ 969,99
16;Cadeira Gamer Husky Gaming Tempest 500 Black e Purple, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - Special Edition;R$ 999,99
17;Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079;R$ 999,99
18;Cadeira Gamer PCTop Racer, Peso Suportado até 120Kg, Reclinável, Descanso de pés, Preta e Azul - Se1006;R$ 589,90
19;Cadeira Gamer Fox Racer Pro, Até 120 Kg, Com Almofadas, Reclinável, Descanso De Braço Ajustável, Preto;R$ 774,89
20;Cadeira Gamer Husky Gaming Tempest 500, Preto e Azul, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA081;R$ 949,99
21;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW;R$ 1.999,99
22;Cadeira Gamer Husky Gaming Blizzard RGB, Preto, Luz RGB, Com Almofadas, Reclinável - HBL-RGB;R$ 1.099,99
23;Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK;R$ 969,99
24;Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005;R$ 879,99
25;Cadeira Gamer Prizi, Amarela, Com Almofadas - JX-1039Y;R$ 498,00
26;Cadeira Gamer Fox Racer Cross, Camuflada, Ajuste de altura, Almofada, Peso Suportado 120kg;R$ 684,89
27;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto - XTR-018;R$ 1.159,99
28;Cadeira Gamer Corsair TC60 Fabric, Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 3, Preto - CF-9010041-WW;R$ 1.229,99
29;Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998;R$ 1.179,99
30;Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB;R$ 589,99
31;Cadeira Gamer Prizi Jx-1039g, até 120 kg, com Almofadas para Pescoço e Lombar, Regulagem de altura, Verde;R$ 489,90
32;Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Verde;R$ 799,00
33;Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax;R$ 899,00
34;Cadeira Gamer Mymax Mx5, Até 150 Kg, Giratória, Preta e Vermelha;R$ 799,00
35;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - XTS150;R$ 984,99
36;Cadeira Gamer Husky Gaming Snow, Preto e Vermelho, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BR;R$ 589,99
37;Cadeira Gamer Alpha Gamer Nebula XL Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULAXL;R$ 1.719,99
38;Cadeira Gamer Husky Gaming Racing, Azul - Com Almofadas, Reclinável, Descanso de Braço 3D - HRC-BLU;R$ 949,99
39;Cadeira Gamer ThunderX3 BC3 Black - 67991;R$ 1.299,99
40;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Vermelho - AGKAPPA-BK-R;R$ 669,99
41;Cadeira Gamer ThunderX3 EC3, Até 120kg, com Almofadas, Preto e Ciano - 68000;R$ 1.099,99
42;Rodízios para Cadeiras Husky Gaming Storm, Blizzard e Hailstorm KIT C/ 5 Preto - HAC-RSBHBL;R$ 59,99
43;Cadeira Gamer Prizi Runner - Preta;R$ 399,90
44;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-034;R$ 1.049,99
45;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Carvão - CF-9010031-WW;R$ 1.999,99
46;Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Branco  - CF-9010030-WW;R$ 1.899,99
47;Cadeira Gamer Preta Com RGB E Iluminação LED Fox Racer;R$ 1.169,00
48;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Rosa -  94013900;R$ 659,00
49;Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul;R$ 399,90
50;Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde;R$ 799,00
51;Cadeira Gamer ThunderX3 TGC12, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.319,99
52;Cadeira Gamer Alpha Gamer Alegra Fabric Cinza - AGALEGRA-F-GRY;R$ 1.899,99
53;Rodízios para Cadeiras Husky Gaming Snow, Polar e Frost KIT C/5 - HAC-RSPF;R$ 59,99
54;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Branco;R$ 659,00
55;Cadeira Gamer Alpha Gamer Polaris Office Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto - AGPOLARISOE-BK;R$ 1.529,99
56;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 2D, Preto - XTS190;R$ 1.069,99
57;Cadeira Gamer Husky Gaming Storm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BW;R$ 969,99
58;Cadeira Gamer MyMax, Giratoria, Preto -  MX12;R$ 1.099,00
59;Cadeira Gamer Alpha Gamer Kappa,  Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Azul - AGKAPPA-BK-BL;R$ 669,99
60;Cadeira Gamer X Fusion, Suporta até 120Kg, Rosa - C.123;R$ 838,95
61;Cadeira Gamer Alpha Gamer Vega, Até 150Kg, Cilindro de Gás 4,  Braço Ajustável, Preto e Laranja;R$ 1.149,99
62;Cadeira Gamer Flexinter Raven X-30, Preto,  Até 200Kg, com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto - CDRVX30PP;R$ 1.599,99
63;Cadeira Gamer Prizi Runner - Branca;R$ 399,90
64;Cadeira Gamer Husky Gaming Storm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BB;R$ 969,99
65;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Preto - 76418;R$ 1.399,99
66;Cadeira Gamer Husky Gaming Snow Limited Edition, Preto, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA054;R$ 719,99
67;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 1.299,99
68;Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Cinza - 13439-0;R$ 1.489,99
69;Cadeira Gamer, Prizi Runner - Roxa;R$ 399,90
70;Cadeira Gamer Prizi Lord - Vermelha;R$ 993,61
71;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Marrom - XTR-016;R$ 1.699,99
72;Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994;R$ 1.279,99
73;Cadeira Gamer Corsair TC60 Fabric, Até 120Kg,  Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010035-WW;R$ 1.199,99
74;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Cinza - XTS130;R$ 984,99
75;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.319,99
76;Cadeira Gamer Vermelha Prizi - Jx-1039r;R$ 580,00
77;Cadeira Gamer Fox Racer, Peso Suportado até 130Kg, LED RGB, Branco;R$ 1.079,30
78;Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Azul - mgch-8131/bl;R$ 659,00
79;Cadeira Gamer Corsair T2 Road Warrior, Até 136Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Azul - CF-9010009-WW;R$ 2.249,99
80;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW;R$ 2.479,99
81;Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd;R$ 659,00
82;Cadeira Gamer Thunderx3 BC3, Peso Suportado até 150Kg, Base resistente de metal, Vermelha;R$ 1.217,86
83;Cadeira Gamer Mymax Mx9, Até 150Kg, Giratória, Preto/Azul;R$ 799,00
84;Cadeira Gamer Baba Shop Profissional DC Batman, Até 150 Kg, Reclinável, Preta;R$ 839,90
85;Cadeira Gamer DT3Sports Royce, com Almofada, Reclinável, Apoio de Braço 4D, Cool Black - 13291-6;R$ 2.699,99
86;Cadeira Gamer DT3 Rhino Ashen, Com almofadas, Reclinável, Apoio de braço 4D, Preto - 13341-2;R$ 2.799,99
87;Cadeira Gamer ThunderX3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Preto - 78202;R$ 1.319,99
88;Cadeira Gamer Alpha Gamer Vega, Preto e Azul, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 1.149,99
89;Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul;R$ 1.319,99
90;Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW;R$ 589,99
91;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 2D, Preto e Vermelho - XTS180;R$ 1.069,99
92;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-026;R$ 1.399,99
93;Cadeira Gamer Waw Design Bunker, Reclinável, Oficial Santos F.C, Ergonômica, Altura Ajustável, Função Relax;R$ 765,30
94;Cadeira Gamer Elements Gaming Veda Terra, Peso Suportado até 150Kg, Almofada Lombar e Cervical, Preto E Verde;R$ 1.189,00
95;Cadeira Gamer Pcyes Mad Racer V8 Turbo, Peso Suportado até  180Kg, Função Relax, Preta - V8tbmadpt;R$ 1.599,90
96;Cadeira DT3 GT-WR - Red;R$ 849,00
97;Travesseiros para Cadeiras Husky Storm, Snow, Blizzard e Hailstorm, KIT Preto - HAC-TSBHBL;R$ 74,99
98;Cadeira Gamer Husky Gaming Frost, Preto e Laranja, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HFR-BO;R$ 699,99
99;Cadeira Gamer Alpha Gamer Polaris Office Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Castanho - AGPOLARISOE-BWN;R$ 1.599,99
100;Cadeira Gamer Corsair TC70 Remix,  Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010038-WW;R$ 1.499,99
101;Cadeira Gamer Alpha Gamer Alegra,  Até 150 kg, Apoio de Braço 4D, Mecanismo Frog, Apoio Lombar Ajustável, Preto - AGALEGRA-PUL-BK;R$ 1.749,99
102;Cadeira Gamer Fortrek Black Hawk Black/Red - 70510;R$ 899,99
103;Cadeira Gamer Husky Gaming Storm, Preto, Vermelho e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-RBW;R$ 999,99
104;Cadeira Gamer Alpha Gamer Sirius, Até 130Kg, Cilindro de Gás 4, Descanso de Braço 4D Preto e Vermelho - AGSIRIUSBKRED;R$ 749,99
105;Cadeira Gamer DT3sports Royce Space Grey - 11913-5;R$ 2.699,99
106;Travesseiros com fita elástica para fixação na Cadeiras Husky Storm, Blizzard e Hailstorm KIT Vermelho - HAC-TSBHR;R$ 74,99
107;Rodízios para Cadeiras Husky Gaming Storm, Blizzard e Hailstorm KIT C/ 5 Branco - HAC-RSBHW;R$ 59,99
108;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - XTS140;R$ 984,99
109;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Rosa e Branco - XTR-023;R$ 1.399,99
110;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Cinza - XTR-032;R$ 1.399,99
111;Cadeira Gamer Husky Gaming Hailstorm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BB;R$ 949,99
112;Cadeira Gamer DT3sports Romeo, Até 110kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Azul - 11203-7;R$ 1.389,99
113;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.449,99
114;Cadeira Gamer Prizi Infinity, 150KG, Escritório, Azul;R$ 549,90
115;Cadeira Gamer Mymax Mx8, Giratória, 150Kg, Preto E Vermelho;R$ 899,00
116;Cadeira Gamer Mymax MX8, Suportado até 150Kg, Giratória, Preto - Mgch-8170/bk;R$ 899,00
117;Cadeira Gamer, Elements Magna Special Knit - Grafite;R$ 2.199,00
118;Cadeira Gamer Fox Racer, 130Kg, Cinza, Com RGB E Iluminação LED;R$ 1.169,00
119;Cadeira Gamer ThunderX3 TGC12, Até 150Kg, Reclinável, com Almofadas, Gás Classe 4, Preto e Vermelho;R$ 1.274,15
120;Cadeira Gamer PCTOP Racer, Preta e Amarela, Reclinável, Descanso de pés - 1006;R$ 589,90
121;Cadeira Gamer Profissional Snake Krait, Peso Suportado até 130Kg, Reclinável, Giratória, Preta e verde - B88;R$ 899,00
122;Cadeira Gamer Corsair TC70 Remix, Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010038-WW;R$ 1.299,99
123;Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Branco - 76421;R$ 1.379,99
124;Cadeira Gamer Fortrek Blackfire Black - 70505;R$ 599,99
125;Cadeira Gamer ThunderX3 EC3, Até 120kg, com Almofadas, Preto e Vermelho - 67999;R$ 1.179,99
126;Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR;R$ 979,99
127;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 589,99
128;Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN;R$ 649,99
129;Cadeira Gamer Corsair T2 Road Warrior, Até 136Kg, Apoio de Braço 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Amarelo - CF-9010010-WW;R$ 2.249,99
130;Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL;R$ 1.399,99
131;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Laranja - XTS120;R$ 984,99
132;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Off White - XTR-068;R$ 1.699,99
133;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Branco - XTR-022;R$ 1.399,99
134;Cadeira Gamer XT Racer Draco, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 4D, Preto e Cinza - XTR-065;R$ 2.399,99
135;Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Vermelho - 13442-4;R$ 1.499,99
136;Cadeira Gamer Alpha Gamer Alegra Fabric, Até 150 kg, Apoio de Braço 4D, Mecanismo Frog, Apoio Lombar Ajustável, Azul - AGALEGRA-F-BL;R$ 1.699,99
137;Cadeira Gamer Alpha Gamer Nebula Fabric, Tecido, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza e Rosa - AGNEBULA-GRY-PK;R$ 1.649,99
138;Cadeira Gamer Fortrek Black Hawk, Black/Pink - 70513;R$ 1.029,99
139;Cadeira Gamer Husky Gaming Hailstorm 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA063;R$ 1.579,99
140;Cadeira Gamer Corsair TC60 Fabric, Até 120Kg,  Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Branco - CF-9010037-WW;R$ 1.199,99
141;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010043-WW;R$ 2.299,99
142;Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Azul - XTR-067;R$ 1.699,99
143;Cadeira Gamer Alpha Gamer Zeta, Até 120 Kg, Preto e Vermelho - AGZETA-BK-R;R$ 999,99
